Lemma,Sense Key,Definition,Frequency,Correct Translation?,Correct Definition?,Notes
inne,quality%1:07:00::,an essential and distinguishing attribute of something or someone,15,,,
césad,passion%1:12:00::,a strong feeling or emotion,18,,,
adrími,calculate%2:31:03::,judge to be probable,4,,,
bríathar,verb%1:10:00::,"a content word that denotes an action, occurrence, or state of existence",14,"word, verb",1,
dobeir,frame%2:32:00::,formulate in a particular style or language,4,,,
doacaldmach,appellative%3:01:00::,pertaining to or dealing with or used as a common noun,2,,,
imchomarc,question%1:10:00::,an instance of questioning,2,,,
maith,good%3:00:01::,having desirable or positive qualities especially those suitable for a thing specified,9,,1,
droch,bad%3:00:00::,having undesirable or negative qualities,2,,1,
folad,kernel%1:09:00::,the choicest or most essential or most vital part of some idea or experience,2,,,
cíall,sense%1:09:02::,the faculty through which the external world is apprehended,2,"sense",1,
díall,declension%1:14:00::,a class of nouns or pronouns or adjectives in Indo-European languages having the same (or very similar) inflectional forms,3,,,
comaisndís,juxtaposition%1:04:00::,the act of positioning close together (or side by side),17,,,
dobeir,confer%2:40:00::,present,2,,,
asbeir,declare%2:32:00::,state emphatically and authoritatively,3,,,
cathrar,citizen%1:18:00::,a native or naturalized member of a state or other political community,2,,,
scríbaid,write%2:36:01::,mark or trace words or symbols on a surface,2,,1,
dechraigidir,differ%2:42:00::,be different,2,,,
sain,particular%5:00:00:specific:00,unique or specific to a person or thing or category,7,,,
sainredach,particular%5:00:00:specific:00,unique or specific to a person or thing or category,2,,,
aue,grandson%1:18:00::,a male grandchild,4,,,
tar éis,place%1:26:01::,a particular situation,4,,,
loc,place%1:26:01::,a particular situation,2,,,
muinter,family%1:14:02::,a social unit living together,4,,,
étig,ugly%3:00:00::,displeasing to the senses,2,,,
már,great%5:00:01:large:00,relatively large in size or number or extent; larger than others of its kind,2,"great, big, large",1,
cenélche,generality%1:07:00::,the quality of being general or widespread or having general applicability,3,,,
adiacht,adjective%3:00:00::,relating to court practice and procedure as opposed to the principles of law,3,,1,
trén,substantial%5:00:00:essential:00,of or relating to the real nature or essential elements of something,2,,,
doformaig,add%2:30:00::,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",4,,,
adcomla,add%2:30:00::,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of",2,,,
atbaill,die%2:30:00::,pass from physical life and lose all bodily attributes and functions necessary to sustain life,4,,,
